Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	R:\K\Kutichim\211221\62_Slot1-54_1_2674.d	R:\K\Kutichim\211221\62_Slot1-54_1_2714.d	R:\K\Kutichim\211221\63_Slot1-42_1_2676.d	R:\K\Kutichim\211221\63_Slot1-42_1_2716.d	R:\K\Kutichim\211221\64_Slot1-38_1_2678.d	R:\K\Kutichim\211221\64_Slot1-38_1_2718.d	R:\K\Kutichim\211221\65_Slot1-49_1_2680.d	R:\K\Kutichim\211221\65_Slot1-49_1_2720.d	R:\K\Kutichim\211221\66_Slot1-44_1_2682.d	R:\K\Kutichim\211221\66_Slot1-44_1_2722.d	R:\K\Kutichim\211221\67_Slot1-40_1_2684.d	R:\K\Kutichim\211221\67_Slot1-40_1_2724.d	R:\K\Kutichim\211221\68_Slot1-27_1_2686.d	R:\K\Kutichim\211221\68_Slot1-27_1_2726.d	R:\K\Kutichim\211221\69_Slot1-52_1_2688.d	R:\K\Kutichim\211221\69_Slot1-52_1_2728.d	R:\K\Kutichim\211221\70_Slot1-43_1_2690.d	R:\K\Kutichim\211221\70_Slot1-43_1_2730.d	R:\K\Kutichim\211221\71_Slot1-46_1_2692.d	R:\K\Kutichim\211221\71_Slot1-46_1_2732.d	R:\K\Kutichim\211221\72_Slot1-22_1_2694.d	R:\K\Kutichim\211221\72_Slot1-22_1_2734.d	R:\K\Kutichim\211221\73_Slot1-53_1_2696.d	R:\K\Kutichim\211221\73_Slot1-53_1_2736.d	R:\K\Kutichim\211221\74_Slot1-41_1_2698.d	R:\K\Kutichim\211221\74_Slot1-41_1_2738.d	R:\K\Kutichim\211221\75_Slot1-48_1_2700.d	R:\K\Kutichim\211221\75_Slot1-48_1_2740.d	R:\K\Kutichim\211221\76_Slot1-47_1_2702.d	R:\K\Kutichim\211221\76_Slot1-47_1_2742.d	R:\K\Kutichim\211221\77_Slot1-51_1_2704.d	R:\K\Kutichim\211221\77_Slot1-51_1_2744.d	R:\K\Kutichim\211221\78_Slot1-45_1_2706.d	R:\K\Kutichim\211221\78_Slot1-45_1_2746.d	R:\K\Kutichim\211221\79_Slot1-50_1_2708.d	R:\K\Kutichim\211221\79_Slot1-50_1_2748.d	R:\K\Kutichim\211221\80_Slot1-39_1_2710.d	R:\K\Kutichim\211221\80_Slot1-39_1_2750.d	R:\K\Kutichim\211221\81_Slot1-23_1_2712.d	R:\K\Kutichim\211221\81_Slot1-23_1_2752.d
A0A075B6H7;A0A0C4DH55;P01624	A0A075B6H7;P01624;A0A0C4DH55	KV315_HUMAN;KV37_HUMAN;KVD07_HUMAN	IGKV3-15;IGKV3-7;IGKV3D-7	Probable non-functional immunoglobulin kappa variable 3-7	7086.61	121815	1792.03					12203.2	2305.62	1488.96	719.89				889.217	2618.82	950.876	1690.55	2563.55	6718.61						5728.41														
A0A075B6I0	A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	19159.2	37726.4		12332.4										3098.17					450.283	678.422																				
A0A075B6J9	A0A075B6J9	LV218_HUMAN	IGLV2-18	Immunoglobulin lambda variable 2-18	24852	26933.4	30688.6	34866.6		1301	3068.26	4440.07	2713.19	2235.81	3929.64	5042.1	6156.88	9082.39	5980.24	7134.03	2257.01	3168.14	23333.7	27218	1567.39		3230.63	4023.87	16366.9	15676.9	2890.03	2841.22	2732.5	4306.23	6844.12	11282		2053.3	6087.42	7426.38	7795.74	14952.7	5045.98	8516.23
A0A075B6K2	A0A075B6K2	LV312_HUMAN	IGLV3-12	Immunoglobulin lambda variable 3-12			700.11	1395.52							349.859	647.652		801.095		646.168																							408.288	824.968
A0A075B6K2;A0A075B6K5;P80748	A0A075B6K2;A0A075B6K5;P80748	LV312_HUMAN;LV321_HUMAN;LV39_HUMAN	IGLV3-12;IGLV3-21;IGLV3-9	Immunoglobulin lambda variable 3-12		871.02	2474.02	8923.44	675.327	1071.67	2988.41	7183.2	5937.46	7488.15	8731.52	10386.6	10613.3	10643.8	2727.11	9828.3	1870.21	1753.1	10439	18868.4	5954.55	6829.06	1624.55	1569.45			3575.54	4707.81	1535.87		15496.6		5603.31		15064.8		4823.36		7371.94	
A0A075B6K4	A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10	5909.66	6956.64	10765.9	19103.3	3116.03	1170.54	4081.33	5422.62	2593.69	5613.96	2924.17	3737.83	7458.22	7742.53	11219.5	9535.07	2507.56	1674.33	9064.19	18554.6	1165.52	1320.21	1107.69	2172.15			1639.61	3439.16	875.029	1828.68	6954.87	6429.9	2865.52	1386.63	5226.79	6645.79	12332.1	26808.3	11966.3	16922.8
A0A075B6K5	A0A075B6K5	LV39_HUMAN	IGLV3-9	Immunoglobulin lambda variable 3-9		1939.48						2261.65					1113.22					1330.82	1986.18	4131.09		1761.91																		
A0A075B6K5;P80748	A0A075B6K5;P80748	LV321_HUMAN;LV39_HUMAN	IGLV3-21;IGLV3-9	Immunoglobulin lambda variable 3-9	70934.5	59394.9	105096	133202	6632.85	17115.7	9947.31	15192.6	29971.7	52453.4	34330	76189.7	27177.5	66391.1	39524.2	36199.7	13774.1	11892	60614.1	89903.9	16384.2	18058.9	30233.6	35288.5			11652.5	11570.3	16630.9	14146.9	86070	63448.7	21073.4	10664.8	65117.3	16849.7	52623.3	11009.5	68898.8	9186.6
A0A075B6R2	A0A075B6R2	HV404_HUMAN	IGHV4-4	Immunoglobulin heavy variable 4-4	5431.93	4869.97		6084.62					674.709					1560.72	2484.2	2248.24			3101.46	2820.21									1257.03		2419.22						2120.49			
A0A075B6R2;P06331;P0DP08	A0A075B6R2;P0DP07;A0A087WSY4;P06331;P01824;P01825;A0A0C4DH41;P0DP06;P0DP08	HV404_HUMAN;HV434_HUMAN;HVD82_HUMAN	IGHV4-34;IGHV4-38-2;IGHV4-4	Immunoglobulin heavy variable 4-4	12520.4	8613.17	12456.1	16174.9	813.883	1419.55	1668.11	2123.88	6622.1	5783.17	13245.8	10387.6	14408.4	24357.5	8866.44	15935.2	2285.9	6539.38	41787.8	52973.4	4675.55	6711.86	2516.13	2985.87			5076.81	3675	2639.35	2582.99	13570.5	17494.4	7466.94	4920.88	17848	24870.8	9575.87	10645.8	15874.6	14505
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68	KV224_HUMAN;KVD24_HUMAN	IGKV2-24;IGKV2D-24	Probable non-functional immunoglobulin kappa variable 2D-24	14361.6	16079.9	7984.5	18540.2			7230.93		3510.55	4189.83	1709.92	2832.08	4272.56	7287.57	11006	8187.67	3085.16	3169.99	14344.2	18882.1	1793.82	5467.93	4137.65	6271.21			3545.22	3018.62	2586.84	2091.38	7188.74	5026.31		2288.19	9103.03	8154.86	7567.36	5969.9	8018.87	8571.61
A0A075B6S2;A2NJV5	A2NJV5;A0A075B6S2	KV229_HUMAN;KVD29_HUMAN	IGKV2-29;IGKV2D-29	Immunoglobulin kappa variable 2D-29	1641.01	2231.45	2872.41	2947.66							721.451					845.626			1706.68	1665.9		765.811	650.096												2192.98	1667.51	952.044		592.058	
A0A075B6S5;A0A0C4DH67	A0A075B6S5;A0A0C4DH69;A0A0C4DH67	KV108_HUMAN;KV127_HUMAN	IGKV1-27;IGKV1-8	Immunoglobulin kappa variable 1-27	43121.6	22764.9	17111.5	40831	978.539	4143.29	11149.2	19150.8	5632.36	11806.8	2907.64	5071.04	8821.81	9364.68	19506.8	10276.1	3804.89	1614	45049.3	57432.5	589.011	581.54	3715.63	1632.92		3720.03	604.917		7176.35	2762.69	21522.8	3248.01	4866.46	1075.38	17575.8	2651.38	6324.39	14340.5	12225.9	1795.35
A0A087WSZ0	A0A087WSZ0	KVD08_HUMAN	IGKV1D-8	Immunoglobulin kappa variable 1D-8	1742.72	3716.7	1312.15						702.662	781.464	905.279	658.475	626.145		559.631	2445.74	588.807	710.441	4922.51	4462.96			557.721	560.755			537.077				693.31	2700.65							443.082	813.797
A0A087WW87;P01614	A0A087WW87;P01614	KV240_HUMAN;KVD40_HUMAN	IGKV2-40;IGKV2D-40	Immunoglobulin kappa variable 2-40	5817.21	6921.23	10793.9	9031.5		3283.26	6179.49		3809.09	2113.08	6277.73	6177.77	6599	4325.05	2740.74	3754.57			6241.67	9757.36	2397.41	2457.14	4952.62	5107.73		5735	2402.31		2415.12		4133.86				2698.78		5853.9		2069.8	
